,id,gender,birthday,age,agreement_status,renewal_agreement_status,sequence_agreement_number,expense_all,expense_in_contract,visits_on_contract,saledate,enddate
30,3ac1abef-bb98-4a69,Мужской,1976-09-24T00:00:00,46,Активен,Не продлено,1,9098.31,9098.31,84,2022-12-31T11:59:32,2024-01-02T23:59:59
31,b8c762a8-7427-4799,Мужской,1973-09-03T00:00:00,49,Активен,Не продлено,5,120656.3,22456.3,14,2022-12-31T11:38:27,2024-09-06T23:59:59
32,059a79de-2411-40af,Мужской,2004-11-21T00:00:00,18,Активен,Не продлено,2,11046.56,11046.56,47,2022-12-31T11:29:39,2024-01-13T23:59:59
33,1d902a7f-2141-477e,Женский,1981-04-18T00:00:00,42,Продан,Не продлено,4,15849.13,0.0,0,2022-12-31T11:25:50,2025-06-22T23:59:59
34,289ea334-897a-473f,Мужской,1964-03-26T00:00:00,59,Продан,Не продлено,5,114509.49,0.0,0,2022-12-31T11:24:38,2025-03-22T23:59:59
35,9169aaf8-c9cf-4a73,Мужской,1962-07-10T00:00:00,60,Активен,Не продлено,3,32413.12,6413.12,25,2022-12-31T10:37:58,2024-01-13T23:59:59
36,fd71be46-ac5d-428d,Женский,1997-09-06T00:00:00,25,Активен,Не продлено,1,24628.96,24628.96,25,2022-12-30T20:21:27,2024-01-16T23:59:59
37,d5a1e33a-81de-4eb2,Мужской,1993-10-17T00:00:00,29,Заморожен,Не продлено,1,23991.99,23991.99,19,2022-12-30T20:20:41,2024-02-08T23:59:59
38,c0911975-5e57-484e,Женский,2017-08-23T00:00:00,5,Закрыт,Не продлено,3,49740.0,0.0,0,2022-12-30T20:18:48,2023-02-03T23:59:59
39,670ffd54-0577-4ef3,Женский,1987-12-17T00:00:00,35,Активен,Не продлено,4,115923.0,23973.0,29,2022-12-30T20:17:20,2024-01-09T23:59:59
40,d99cdf06-1726-46be,Женский,1978-06-09T00:00:00,44,Активен,Не продлено,3,33654.49,8654.49,17,2022-12-30T20:03:52,2024-01-08T23:59:59
41,1a65ad49-d931-4219,Мужской,1974-01-21T00:00:00,49,Активен,Не продлено,2,42154.49,8654.49,24,2022-12-30T20:02:17,2024-01-08T23:59:59
42,2dde969c-b63e-4890,Женский,1984-01-12T00:00:00,39,Активен,Не продлено,5,110882.41,23482.41,11,2022-12-30T20:00:52,2024-03-13T23:59:59
43,15850119-9545-4ae1,Женский,1995-06-03T00:00:00,27,Активен,Не продлено,2,41199.77,7699.77,2,2022-12-30T19:11:21,2024-07-08T23:59:59
44,6fe74e57-ebb2-45b9,Женский,1971-04-14T00:00:00,52,Активен,Не продлено,2,40414.79,7914.79,18,2022-12-30T18:17:58,2024-01-18T23:59:59
45,8514a5bd-2c93-44d3,Мужской,1982-03-19T00:00:00,41,Активен,Не продлено,8,171426.64,8284.64,6,2022-12-30T18:17:53,2024-01-13T23:59:59
46,c0673edd-4d25-43ba,Мужской,1990-06-16T00:00:00,32,Активен,Не продлено,4,110877.41,23482.41,12,2022-12-30T17:44:41,2024-02-12T23:59:59
47,3d20e241-ebe8-407b,Женский,1962-12-17T00:00:00,60,Активен,Не продлено,2,56194.73,23694.73,14,2022-12-30T17:40:07,2024-02-07T23:59:59
48,c4d5bc1a-dcae-4920,Женский,1982-12-01T00:00:00,40,,Не продлено,0,8343.0,0.0,0,2022-12-30T17:36:28,0001-01-01T00:00:00
49,acc81018-b983-4208,Мужской,1983-11-21T00:00:00,39,Активен,Не продлено,4,33522.92,4622.92,10,2022-12-30T17:21:26,2024-07-31T23:59:59
50,a1c7a043-bc84-434e,Женский,1980-11-18T00:00:00,42,Активен,Не продлено,1,9271.22,9271.22,0,2022-12-30T17:03:57,2024-01-31T23:59:59
51,b28463bf-0038-47c3,Женский,1957-05-12T00:00:00,65,Продан,Не продлено,6,159125.0,0.0,0,2022-12-30T16:46:03,2024-10-31T23:59:59
52,470847a8-4d2a-45e8,Женский,1986-09-06T00:00:00,36,Активен,Не продлено,5,105957.52,10257.52,22,2022-12-30T16:37:14,2024-01-21T23:59:59
53,a102bb3b-edc3-4bcf,Мужской,1992-01-08T00:00:00,31,Активен,Не продлено,4,144472.28,9172.28,45,2022-12-30T16:35:56,2024-01-01T23:59:59
54,797f48aa-fdd5-48f9,Мужской,1984-07-03T00:00:00,38,Активен,Не продлено,7,194180.44,15002.36,11,2022-12-30T16:33:15,2024-02-18T23:59:59
55,0073d055-5202-4409,Женский,1978-04-20T00:00:00,45,Активен,Не продлено,2,57426.22,24926.22,7,2022-12-30T16:27:20,2024-01-09T23:59:59
56,a154bc96-af0d-42e4,Женский,1987-07-14T00:00:00,35,Активен,Не продлено,1,24713.89,24713.89,0,2022-12-30T16:17:21,2024-01-14T23:59:59
57,3b467c12-2ab9-45d2,Мужской,1981-03-16T00:00:00,42,Активен,Не продлено,6,84059.44,11441.08,15,2022-12-30T16:06:31,2024-01-09T23:59:59
58,8d0370f1-6613-45fe,Женский,1975-08-30T00:00:00,47,Активен,Не продлено,2,43819.64,4819.64,11,2022-12-30T16:00:23,2024-03-17T23:59:59
59,ff86eef0-ebfa-4a39,Женский,1983-06-24T00:00:00,39,Активен,Не продлено,5,132268.31,9098.31,4,2022-12-30T15:34:24,2024-01-02T23:59:59
60,ee11025f-a105-4d11,Мужской,1980-09-06T00:00:00,42,Активен,Не продлено,3,53819.64,4819.64,13,2022-12-30T15:19:32,2024-03-17T23:59:59
61,c286435a-51d5-4452,Мужской,1999-09-01T00:00:00,23,Активен,Не продлено,2,16450.37,8950.37,34,2022-12-30T15:19:01,2024-01-04T23:59:59
62,801609c4-2f13-4118,Женский,1984-10-16T00:00:00,38,Закрыт,Продлено,2,75590.16,36000.0,100,2022-12-30T14:52:31,2023-04-28T23:59:59
63,e6638b90-7261-4e68,Женский,1995-08-11T00:00:00,27,,Не продлено,0,126000.0,0.0,0,2022-12-30T14:51:08,0001-01-01T00:00:00
64,291019f6-73cc-4cc4,Женский,1966-11-20T00:00:00,56,Заморожен,Не продлено,3,27564.64,1564.64,4,2022-12-30T14:38:48,2024-07-20T23:59:59
65,edad16a5-65d3-43ca,Женский,2006-05-19T00:00:00,16,Заморожен,Не продлено,2,26130.14,130.14,0,2022-12-30T14:35:09,2024-08-10T23:59:59
66,eccd94b3-5602-48fb,Женский,1978-07-10T00:00:00,44,Активен,Не продлено,4,121417.35,4057.35,11,2022-12-30T14:27:22,2024-03-11T23:59:59
67,930dc552-242d-47b4,Мужской,1973-10-11T00:00:00,49,Активен,Не продлено,2,44677.38,12427.38,2,2022-12-30T13:50:37,2023-12-30T23:59:59
68,8b747325-ab1c-42b7,Женский,2002-07-01T00:00:00,20,Активен,Не продлено,3,70628.96,24628.96,41,2022-12-30T13:22:22,2024-01-16T23:59:59
69,ea4dbdfa-0f3d-4853,Женский,1974-02-04T00:00:00,49,Активен,Не продлено,2,35651.49,6098.32,31,2022-12-30T13:18:51,2024-07-01T23:59:59
70,036c2615-89f2-4094,Мужской,2009-01-12T00:00:00,14,Закрыт,Продлено,1,7246.22,0.0,0,2022-12-30T13:14:41,2023-01-24T23:59:59
71,ec299545-f7ad-4c22,Женский,2019-02-06T00:00:00,4,Активен,Не продлено,2,38614.94,13814.94,15,2022-12-30T13:14:20,2024-01-07T23:59:59
72,e0bb20d6-53b2-42dd,Женский,1987-09-30T00:00:00,35,Активен,Не продлено,3,57776.4,8876.4,30,2022-12-30T13:11:12,2024-01-05T23:59:59
73,275064d3-9a87-48a1,Мужской,2022-03-01T00:00:00,1,Активен,Не продлено,1,8284.64,8284.64,21,2022-12-30T13:10:43,2024-01-13T23:59:59
74,c963338d-89dc-43d3,Женский,1985-06-24T00:00:00,37,Активен,Не продлено,7,221548.65,22498.65,26,2022-12-30T12:51:51,2024-03-07T23:59:59
75,bce3977d-b4cc-4848,Женский,2019-08-21T00:00:00,3,Активен,Не продлено,3,69098.65,22498.65,26,2022-12-30T12:49:42,2024-03-07T23:59:59
76,1a8ee38f-2f8c-4f8a,Мужской,1998-06-25T00:00:00,24,Активен,Не продлено,1,9172.28,9172.28,25,2022-12-30T12:05:25,2024-01-01T23:59:59
77,e0395668-64df-4cf3,Женский,1947-06-05T00:00:00,75,Активен,Не продлено,2,27768.82,4868.82,32,2022-12-30T11:48:09,2024-07-26T23:59:59
78,9224f6f9-861d-4efd,Женский,1971-03-03T00:00:00,52,Активен,Не продлено,2,41838.59,8338.59,29,2022-12-30T11:26:18,2024-04-08T23:59:59
79,0c754640-1d20-4d88,Мужской,1966-08-19T00:00:00,56,Активен,Не продлено,6,181926.22,24926.22,0,2022-12-30T11:14:44,2024-01-09T23:59:59
80,ec00df3e-616c-4d29,Женский,1970-04-28T00:00:00,53,Активен,Не продлено,6,192949.01,26349.01,22,2022-12-30T10:40:23,2024-01-22T23:59:59
81,091e973b-c1bb-420e,Мужской,1984-01-02T00:00:00,39,Активен,Не продлено,4,77834.23,11934.23,54,2022-12-30T10:12:16,2024-01-04T23:59:59
82,0a4791d0-deec-4bc5,Женский,1963-12-30T00:00:00,59,,Не продлено,0,196828.46,0.0,0,2022-12-30T09:55:23,0001-01-01T00:00:00
83,5da71ddb-3c4b-4a11,Мужской,1986-06-29T00:00:00,36,Активен,Не продлено,8,18808.03,3289.03,16,2022-12-30T00:00:00,2024-08-28T23:59:59
84,2015494c-6240-4dfc,Мужской,1996-12-16T00:00:00,26,Активен,Не продлено,3,74851.29,9051.29,49,2022-12-30T00:00:00,2024-03-29T23:59:59
85,3f2d74fb-1aeb-4e05,Мужской,1979-11-28T00:00:00,43,Активен,Не продлено,2,34480.01,12526.01,8,2022-12-30T00:00:00,2023-12-29T23:59:59
86,0c25a96f-b14b-47a4,Мужской,1991-11-14T00:00:00,31,Активен,Не продлено,1,9394.19,9394.19,14,2022-12-30T00:00:00,2023-12-29T23:59:59
87,93fbe9f4-24b2-422d,Женский,1978-11-26T00:00:00,44,Активен,Не продлено,8,9789.03,3289.03,0,2022-12-30T00:00:00,2024-08-28T23:59:59
88,8d825b88-2bcd-44aa,Женский,1974-01-12T00:00:00,49,Продан,Не продлено,6,163070.0,0.0,0,2022-12-29T21:33:34,2025-02-28T23:59:59
89,b5427923-593a-499a,Мужской,1983-02-24T00:00:00,40,Активен,Не продлено,1,9098.31,9098.31,38,2022-12-29T21:28:57,2024-01-02T23:59:59
90,036c2615-89f2-4094,Женский,0001-01-01T00:00:00,0,Активен,Не продлено,1,15028.2,15028.2,46,2022-12-29T21:18:09,2024-01-01T23:59:59
91,a789cbbf-7eb8-4abf,Мужской,2020-12-18T00:00:00,2,Активен,Не продлено,2,34901.58,13060.9,8,2022-12-29T21:03:47,2024-01-11T23:59:59
92,e8e1374d-aeaa-48a6,Мужской,1980-04-05T00:00:00,43,Активен,Не продлено,1,7988.76,7988.76,47,2022-12-29T20:56:27,2024-01-17T23:59:59
93,bb3e01d4-5896-43e3,Женский,1991-11-07T00:00:00,31,Активен,Не продлено,4,102398.31,9098.31,20,2022-12-29T20:50:41,2024-01-02T23:59:59
94,b48f99e4-3684-4a00,Женский,1994-08-27T00:00:00,28,Активен,Не продлено,6,151302.29,4027.29,2,2022-12-29T19:54:43,2023-12-18T23:59:59
95,abc14fe0-1905-4fc3,Мужской,1962-05-23T00:00:00,60,Активен,Не продлено,4,106988.5,3688.5,0,2022-12-29T19:52:45,2024-08-19T23:59:59
96,19506c3e-3198-42fb,Мужской,1981-06-16T00:00:00,41,Активен,Не продлено,3,62823.03,7323.03,44,2022-12-29T19:51:11,2024-01-26T23:59:59
97,ab20db1f-2abd-4296,Мужской,2009-07-29T00:00:00,13,Активен,Не продлено,2,32144.8,6844.8,1,2022-12-29T19:21:14,2024-07-05T23:59:59
98,9384a758-41ea-484c,Женский,1982-11-20T00:00:00,40,Активен,Не продлено,2,33197.2,7897.2,6,2022-12-29T19:20:40,2024-07-05T23:59:59
99,998f8787-b9f3-4744,Мужской,2016-08-13T00:00:00,6,Активен,Не продлено,3,35381.32,2881.32,3,2022-12-29T19:20:09,2024-09-09T23:59:59
100,b2eabc8c-76f2-4dcf,Мужской,1981-09-07T00:00:00,41,Активен,Не продлено,3,61530.69,3730.69,2,2022-12-29T19:19:06,2024-09-09T23:59:59
101,846cec13-6e45-4b5b,Мужской,1978-05-11T00:00:00,44,Активен,Не продлено,2,57154.8,14794.8,54,2022-12-29T19:03:07,2024-01-05T23:59:59
102,2e3bb7cc-364d-4aec,Женский,1974-09-05T00:00:00,48,Активен,Не продлено,1,12131.49,12131.49,31,2022-12-29T18:58:39,2024-01-02T23:59:59
103,bee07004-96a6-40b2,Мужской,1987-03-26T00:00:00,36,Активен,Не продлено,1,11342.45,11342.45,46,2022-12-29T18:19:46,2024-01-10T23:59:59
104,2a74c4d9-fbc9-40e8,Мужской,1989-05-27T00:00:00,33,Продан,Не продлено,6,238072.3,0.0,0,2022-12-29T18:16:36,2024-07-02T23:59:59
105,6d1bea2d-1fde-4076,Женский,1965-11-10T00:00:00,57,Активен,Не требует продления,0,179380.0,0.0,7,2022-12-29T18:13:00,0001-01-01T00:00:00
106,297348aa-e779-4d95,Женский,1951-02-24T00:00:00,72,Активен,Не продлено,5,70277.02,4377.02,3,2022-12-29T17:55:02,2024-08-05T23:59:59
107,5b1970d9-7a16-4255,Мужской,1973-05-08T00:00:00,49,Активен,Не продлено,4,6953.18,6953.18,0,2022-12-29T17:25:39,2024-01-31T23:59:59
108,738aefbf-1084-477a,Женский,1972-07-18T00:00:00,50,Активен,Не продлено,4,6953.18,6953.18,0,2022-12-29T17:19:41,2024-01-31T23:59:59
109,89d37fea-0edf-4eef,Женский,1992-06-13T00:00:00,30,Активен,Не продлено,2,49801.57,24501.57,32,2022-12-29T17:15:55,2024-01-19T23:59:59
110,577e311e-eee3-4e76,Мужской,2001-06-23T00:00:00,21,Активен,Не продлено,1,8552.4,8552.4,50,2022-12-29T16:30:43,2024-04-05T23:59:59
111,c146e268-d1a7-4f29,Женский,1993-06-17T00:00:00,29,Заморожен,Не продлено,5,120957.84,2057.84,11,2022-12-29T16:20:29,2024-07-13T23:59:59
112,dad62cf0-bea5-421f,Женский,1958-09-30T00:00:00,64,Активен,Не продлено,6,172944.8,5264.8,28,2022-12-29T16:17:34,2024-08-14T23:59:59
113,38d31b85-a576-41d1,Мужской,1994-09-13T00:00:00,28,Активен,Не продлено,2,31953.18,6953.18,31,2022-12-29T16:11:59,2024-01-31T23:59:59
114,3e42a19b-b9de-492a,Мужской,2001-06-09T00:00:00,21,Активен,Не продлено,2,8654.49,8654.49,12,2022-12-29T16:09:39,2024-01-08T23:59:59
115,79037a18-81e3-4e1a,Мужской,1994-06-14T00:00:00,28,Заморожен,Не продлено,2,56237.2,23737.2,7,2022-12-29T16:07:14,2024-02-07T23:59:59
116,aafe6242-d23d-4029,Мужской,1972-06-13T00:00:00,50,Продан,Не продлено,7,199300.0,0.0,0,2022-12-29T15:44:03,2024-07-31T23:59:59
117,effe5b0c-ae38-46f7,Женский,1976-02-15T00:00:00,47,Активен,Не продлено,3,41965.0,0.0,0,2022-12-29T15:38:04,2024-04-30T23:59:59
118,97d61079-ba8e-4795,Мужской,1977-12-07T00:00:00,45,Активен,Не продлено,6,206880.5,23630.5,12,2022-12-29T15:34:17,2024-01-19T23:59:59
119,db90b9ff-722b-4e6b,Мужской,2008-11-18T00:00:00,14,Активен,Не продлено,1,25181.01,25181.01,8,2022-12-29T15:30:22,2024-01-03T23:59:59
120,5180f987-502e-4284,Мужской,2002-08-02T00:00:00,20,Активен,Не продлено,2,51491.99,23991.99,13,2022-12-29T15:07:33,2024-01-31T23:59:59
121,f5a40e22-55aa-49cd,Мужской,1958-02-02T00:00:00,65,Закрыт,Не продлено,2,11123.0,0.0,16,2022-12-29T14:54:51,2023-04-04T23:59:59
122,cced0704-ca20-4f8a,Женский,1958-10-02T00:00:00,64,Закрыт,Не продлено,2,11123.0,0.0,16,2022-12-29T14:54:22,2023-04-04T23:59:59
123,16552399-0a52-4ff4,Мужской,1986-03-14T00:00:00,37,Активен,Не продлено,2,53274.17,24374.17,0,2022-12-29T14:43:43,2024-01-22T23:59:59
124,38eb239d-0aa7-495a,Мужской,1966-05-17T00:00:00,56,Активен,Не продлено,1,9435.33,9435.33,53,2022-12-29T14:01:21,2024-01-02T23:59:59
125,57328ee0-927c-4f76,Мужской,1972-02-08T00:00:00,51,Активен,Не продлено,2,32250.0,0.0,4,2022-12-29T13:54:34,2024-04-25T23:59:59
126,788c8f17-0388-42d0,Женский,1979-07-13T00:00:00,43,Активен,Не продлено,2,32250.0,0.0,9,2022-12-29T13:44:27,2024-04-26T23:59:59
127,1fbaa490-bf7b-427f,Женский,1957-05-10T00:00:00,65,,Не продлено,0,178447.48,0.0,0,2022-12-29T11:55:20,0001-01-01T00:00:00
128,b266737a-b33a-4a6f,Женский,1983-04-22T00:00:00,40,Активен,Не продлено,2,37417.68,10417.68,6,2022-12-29T11:25:26,2024-01-08T23:59:59
129,287e9a58-5dac-4e8d,Мужской,1981-06-25T00:00:00,41,Активен,Не продлено,1,7766.85,7766.85,48,2022-12-29T11:24:10,2024-01-20T23:59:59
130,38b79edc-135b-42a5,Мужской,1976-07-05T00:00:00,46,,Не продлено,0,31855.99,0.0,0,2022-12-29T11:03:30,0001-01-01T00:00:00
131,6d863df9-98e6-4979,Женский,1973-12-13T00:00:00,49,Активен,Не продлено,7,188015.54,5065.54,12,2022-12-29T10:29:28,2024-07-22T23:59:59
132,b705f37b-d70d-4626,Мужской,1990-07-17T00:00:00,32,Активен,Не продлено,3,33968.16,9468.16,18,2022-12-29T00:00:00,2023-12-28T23:59:59
133,ecce7648-9cbb-4895,Женский,1982-04-19T00:00:00,41,Активен,Не продлено,1,9098.31,9098.31,29,2022-12-28T21:47:16,2024-01-02T23:59:59
134,036c2615-89f2-4094,Мужской,2010-11-26T00:00:00,12,Активен,Не продлено,1,0.0,0.0,16,2022-12-28T20:51:21,2024-02-17T23:59:59
135,6de525d7-a5a4-4bd2,Женский,1985-06-17T00:00:00,37,Продан,Не требует продления,0,300000.0,300000.0,0,2022-12-28T20:44:22,0001-01-01T00:00:00
136,769b3b67-d7a4-444e,Мужской,1997-03-10T00:00:00,26,Активен,Не продлено,5,150161.85,24161.85,34,2022-12-28T20:39:05,2024-01-27T23:59:59
137,6b54d741-3845-443f,Мужской,1971-07-29T00:00:00,51,Активен,Не продлено,1,4294.5,4294.5,10,2022-12-28T20:24:52,2024-02-19T23:59:59
138,134c1c55-da26-4cd2,Женский,1994-09-18T00:00:00,28,Активен,Не продлено,1,9394.19,9394.19,11,2022-12-28T19:42:38,2023-12-29T23:59:59
139,01a15e1c-24ff-49f2,Мужской,2014-04-02T00:00:00,9,Активен,Не продлено,4,99972.83,22972.83,15,2022-12-28T19:27:04,2024-02-24T23:59:59
140,4dbc349a-3e49-4816,Мужской,2002-05-19T00:00:00,20,Активен,Не продлено,1,23219.5,23219.5,7,2022-12-28T19:23:41,2024-01-31T23:59:59
141,7db31be4-52fb-4806,Женский,1979-12-26T00:00:00,43,Активен,Не продлено,2,55308.5,22808.5,12,2022-12-28T19:21:10,2024-02-12T23:59:59
142,9ef246c2-9978-4ca1,Мужской,1986-03-10T00:00:00,37,Активен,Не продлено,1,8580.52,8580.52,37,2022-12-28T19:18:08,2024-01-09T23:59:59
143,01b10259-601f-4af3,Женский,2002-12-29T00:00:00,20,Активен,Не продлено,3,21905.75,21905.75,9,2022-12-28T19:17:03,2024-03-21T23:59:59
144,4401e0dc-c82f-4bda,Женский,1981-12-11T00:00:00,41,Активен,Не продлено,6,182037.8,8262.8,7,2022-12-28T19:11:38,2024-01-21T23:59:59
145,95114f83-7253-4f8e,Женский,1980-03-21T00:00:00,43,,Не продлено,0,83606.0,0.0,0,2022-12-28T19:11:16,0001-01-01T00:00:00
146,5122230f-34c1-42f0,Женский,1989-01-27T00:00:00,34,Активен,Не продлено,3,-10143.6,8580.52,29,2022-12-28T18:56:10,2024-01-09T23:59:59
147,987e8cfb-8fc1-441b,Мужской,2002-01-22T00:00:00,21,Закрыт,Не продлено,2,19800.0,0.0,6,2022-12-28T18:55:31,2023-02-28T23:59:59
148,8607777b-42e6-4abb,Мужской,2016-05-17T00:00:00,6,Активен,Не продлено,2,7246.22,7246.22,21,2022-12-28T18:53:11,2024-01-09T23:59:59
149,61116696-7c04-4276,Мужской,1965-05-29T00:00:00,57,Активен,Не продлено,2,42577.48,23397.48,21,2022-12-28T18:49:58,2024-02-14T23:59:59
150,2efffdcb-1dbc-46c0,Мужской,1984-09-10T00:00:00,38,Активен,Не продлено,3,79635.8,25435.8,5,2022-12-28T17:53:03,2023-12-28T23:59:59
151,00b1ec22-4af2-4e1b,Женский,1978-10-20T00:00:00,44,Закрыт,Продлено,1,100000.0,0.0,0,2022-12-28T17:37:38,2023-01-16T23:59:59
152,13d3690c-36ca-4318,Мужской,2001-10-22T00:00:00,21,Активен,Не продлено,1,9172.28,9172.28,37,2022-12-28T17:28:16,2024-01-01T23:59:59
153,9b6165d3-394c-4441,Женский,1994-11-19T00:00:00,28,Активен,Не продлено,2,32600.75,7600.75,19,2022-12-28T16:54:40,2023-11-11T23:59:59
154,df33c6e9-d3f2-4d6c,Женский,2015-06-24T00:00:00,7,Активен,Не продлено,1,14243.47,14243.47,39,2022-12-28T16:53:37,2024-01-04T23:59:59
155,623271fc-265f-41c3,Женский,1975-09-30T00:00:00,47,Активен,Не продлено,1,8950.37,8950.37,40,2022-12-28T16:46:46,2024-01-04T23:59:59
156,f93d3327-c5fb-4e71,Женский,1991-04-19T00:00:00,32,Активен,Не продлено,2,52711.75,20211.75,2,2022-12-28T15:41:30,2024-04-30T23:59:59
157,428acbcb-fb7e-4513,Мужской,1962-12-28T00:00:00,60,Активен,Не продлено,1,13701.79,13701.79,19,2022-12-28T15:39:56,2023-07-01T23:59:59
158,0f039327-9a09-4364,Мужской,2014-11-14T00:00:00,8,Закрыт,Не продлено,4,32650.0,4500.0,7,2022-12-28T15:22:46,2023-02-01T23:59:59
159,238327df-35c3-46a6,Женский,1973-12-07T00:00:00,49,Активен,Не продлено,7,159122.44,5382.44,12,2022-12-28T14:41:17,2024-01-31T23:59:59
160,bdc87599-2f22-42f1,Мужской,2014-09-19T00:00:00,8,Активен,Не продлено,6,111113.89,24713.89,6,2022-12-28T14:39:53,2024-01-14T23:59:59
161,72313461-b31f-4c16,Женский,2012-05-06T00:00:00,11,Продан,Не продлено,3,50986.14,0.0,0,2022-12-28T14:30:40,2024-06-25T23:59:59
